reporting_period,publication_blocked,unresolved_critical_count,warnings_awaiting_disposition,pending_adjustment_count,publication_ready
2024-01-31,0,0,0,0,1
2024-02-29,0,0,0,0,1
2024-03-31,0,0,0,0,1
2024-04-30,0,0,0,0,1
2024-05-31,0,0,1,0,0
2024-06-30,0,0,1,0,0
2024-07-31,0,0,0,0,1
2024-08-31,0,0,0,0,1
2024-09-30,0,0,0,0,1
2024-10-31,0,0,0,0,1
2024-11-30,0,0,0,0,1
2024-12-31,0,0,0,0,1
2025-01-31,0,0,1,0,0
2025-02-28,0,0,0,0,1
2025-03-31,0,0,1,0,0
2025-04-30,0,0,2,0,0
2025-05-31,0,0,4,0,0
2025-06-30,0,0,4,0,0
2025-07-31,0,0,8,0,0
2025-08-31,0,0,2,0,0
2025-09-30,0,0,2,0,0
2025-10-31,1,6,2,0,0
2025-11-30,0,0,1,0,0
2025-12-31,0,0,3,0,0
