reporting_period,records_checked,records_failed,exception_rate_pct
2024-01-31,22430,0,0.0
2024-02-29,22588,0,0.0
2024-03-31,22625,0,0.0
2024-04-30,22768,0,0.0
2024-05-31,22841,0,0.0
2024-06-30,22854,0,0.0
2024-07-31,23004,0,0.0
2024-08-31,23061,0,0.0
2024-09-30,23110,0,0.0
2024-10-31,23187,0,0.0
2024-11-30,23335,0,0.0
2024-12-31,23392,0,0.0
2025-01-31,23475,0,0.0
2025-02-28,23621,0,0.0
2025-03-31,23696,0,0.0
2025-04-30,23869,0,0.0
2025-05-31,23932,0,0.0
2025-06-30,24110,0,0.0
2025-07-31,24189,0,0.0
2025-08-31,24252,0,0.0
2025-09-30,24324,0,0.0
2025-10-31,24361,6,0.02462953080743812
2025-11-30,24426,0,0.0
2025-12-31,24585,0,0.0
